탄소유형,탄소저장_tC_ha,연간흡수_tC_ha_yr,근거_비고
침엽수림,98,4.1,소나무림(자연) 국립산림과학원2022-원고표4-13
활엽수림,135,5.2,참나무류림(자연) 국립산림과학원2022-원고표4-13
혼효림,118,4.8,혼효림 국립산림과학원2022-원고표4-13
인공림,90,3.5,복원·임업 조림지(자연림보다 낮게 근사) ★조정
산림기타,20,0.5,산림내 비식생지·훼손지(저탄소) ★조정
수계·습지,60,1.5,습지흡수 Nahlik&Fennessy2016·Mcleod2011(3.2~3.5)와 개방수면0 혼재 보정 ★조정
초지·조성녹지,40,2.4,도시림 흡수2.4 tC/ha/yr(Nowak2013); 저장 초지SOC 근사(이경학2006/IPCC2006) ★조정
농경지,45,0.2,경작지 토양탄소 중심(IPCC2006 Tier1·이경학2006); 순흡수≈0(수확) ★조정
묘지,30,1.0,초지성 근사 ★조정
나지·유휴지,10,0.0,식생·토양탄소 미미 ★조정
공공용도지,15,0.3,시가화(일부 오픈스페이스); 박은진·강규이2009 참고 ★조정
단독주택지,12,0.2,시가화(정원·가로수) ★조정
공동주택지,12,0.2,시가화(단지녹지) ★조정
주거상업혼합지,10,0.1,시가화 ★조정
상업업무지,8,0.1,시가화 ★조정
공업지,8,0.1,시가화 ★조정
특수지역,10,0.2,시가화 ★조정
교통시설지,5,0.05,도로·철도 ★조정
