원유형,통합비교유형,면적_ha,비고
자생침엽수림,산림,23817.0,
농경지,농경지,9534.9,
복원산림,산림,8512.4,인공/복원림도 산림으로 통합(소분류 해상도)
참나무류 우점림,산림,6256.2,
참나무류 순림,산림,5817.1,
교통시설지,교통시설지,5750.4,
공동주택지,공동주택지,3212.1,
공업지,공업지,3137.4,
공공용도지,공공용도지,3027.6,
저수로,수계·습지,2398.0,
단독주택지,단독주택지,2129.9,
둔치 및 하중도,수계·습지,2088.6,
상업업무지,상업업무지,2053.9,
유휴지,나지·유휴지,1650.8,
특수지역,특수지역,1253.9,
묘지,묘지,1231.6,
임업산림,산림,1172.6,
도로녹지,초지·조성녹지,1065.4,애매: 도로녹지↔교통
나지,나지·유휴지,934.9,
혼합주거지,주거상업혼합지,724.2,
공공휴양녹지,초지·조성녹지,573.6,
저수지,수계·습지,436.0,
시설부속녹지,초지·조성녹지,325.0,
상업시설녹지,초지·조성녹지,159.5,
사육지,농경지,130.7,축산→농경지로 통합
산림 내 비식생지,산림,120.7,
특이 생육기반지,초지·조성녹지,99.0,애매: 특이생육기반↔나지
제내지 습지,수계·습지,62.8,
수목재배지,농경지,56.5,
물류시설지,공업지,50.8,애매: 물류↔공공용도
호소식생지,수계·습지,36.7,
제방사면,수계·습지,36.2,
산림 훼손지,산림,34.7,
역사문화유적지,공공용도지,29.5,
기타 산림,산림,8.4,
산지천,수계·습지,8.3,
농경습지,농경지,3.9,
환경개선녹지,초지·조성녹지,1.5,
인공시설물,공공용도지,1.2,소규모
습윤지성 낙엽활엽수림,산림,1.2,
산지습원,수계·습지,0.5,
