U중분류,공공용도지,공공휴양녹지,공동주택지,공업지,교통시설지,기타 산림,나지,농경습지,농경지,단독주택지,도로녹지,둔치 및 하중도,묘지,물류시설지,복원산림,사육지,산림 내 비식생지,산림 훼손지,산지습원,산지천,상업시설녹지,상업업무지,수목재배지,습윤지성 낙엽활엽수림,시설부속녹지,역사문화유적지,유휴지,인공시설물,임업산림,자생침엽수림,저수로,저수지,제내지 습지,제방사면,참나무류 순림,참나무류 우점림,특수지역,특이 생육기반지,호소식생지,혼합주거지,환경개선녹지
공공용도지,2064.2,7.6,2.1,0.6,6.7,0.0,10.7,0.0,21.3,2.0,1.3,3.7,0.0,0.2,1.2,0.0,0.1,0.0,0.0,0.0,74.3,2.4,0.0,0.0,51.6,0.0,12.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.3,8.4,0.0,0.0,1.6,0.0
공업지,15.7,22.8,60.5,3041.8,39.5,0.0,206.5,0.0,14.6,20.7,16.6,0.2,0.2,40.7,4.4,0.0,0.0,1.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.1,304.0,0.0,0.0,0.3,2.6,0.9,0.0,0.0,0.0,0.0,2.4,0.0,0.0,2.6,0.0
교통시설지역,168.3,3.7,9.2,5.7,5350.3,0.0,44.6,0.0,9.8,2.2,183.8,33.0,0.2,0.1,0.4,0.2,0.0,0.1,0.0,0.0,0.3,11.5,0.1,0.0,6.0,0.1,14.5,0.0,0.0,1.4,27.6,0.3,0.1,0.6,0.3,0.3,21.2,0.0,0.0,3.2,0.0
나지,31.9,17.2,132.8,7.8,123.6,0.0,138.1,0.0,12.2,10.6,79.3,12.0,0.4,2.6,1.2,0.1,0.0,0.0,0.0,0.0,0.5,28.0,0.1,0.0,13.4,0.3,213.0,0.0,0.0,0.2,2.5,0.7,0.0,0.0,0.1,0.1,12.0,0.0,0.0,21.0,1.1
녹지 및 오픈스페이스,163.7,510.1,37.7,38.1,161.7,8.4,268.2,0.2,9451.5,24.1,776.9,507.1,1230.2,6.5,8467.3,130.3,120.6,32.0,0.0,0.5,84.0,38.8,56.0,1.2,237.3,28.5,1048.8,0.0,1172.5,23791.3,10.0,0.8,4.5,9.7,5813.2,6253.5,86.7,98.6,3.3,3.9,0.4
도시부양시설지,545.2,4.6,5.8,1.6,8.6,0.0,8.8,0.0,1.4,0.2,0.6,0.0,0.1,0.0,6.0,0.0,0.0,0.8,0.0,0.0,0.3,71.6,0.0,0.0,13.2,0.0,32.2,0.0,0.0,13.5,0.8,0.8,26.6,0.0,0.5,0.3,0.1,0.0,0.0,0.7,0.0
상업 및 업무시설,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상업 및 업무시설지,20.9,0.6,13.8,38.5,16.2,0.0,64.2,0.0,6.0,1.6,1.6,0.0,0.0,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.1,1888.1,0.0,0.0,2.6,0.3,10.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.2,0.0,0.0,9.1,0.0
주거·상업혼합지,0.8,0.2,6.2,0.3,1.7,0.0,28.9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.8,0.0
주택지,2.6,1.0,647.0,1.7,14.9,0.0,134.1,0.0,8.2,2067.8,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.1,6.8,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.1,0.4,0.2,0.0,0.0,18.8,0.0
특수지역,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.7,0.0,0.0,0.0,0.0
하천 및 호소,8.1,5.4,0.5,0.1,20.2,0.0,6.2,3.6,9.7,0.1,4.4,1532.5,0.5,0.1,31.6,0.0,0.0,0.8,0.5,7.7,0.0,0.2,0.3,0.0,0.9,0.0,7.2,1.2,0.0,5.7,2354.5,432.0,31.6,25.8,2.4,1.2,1.0,0.4,33.4,0.0,0.0
