1차유형,→ 2차 대응(지배),대응비율%,겹침면적_ha,1차총면적_ha,신뢰도,2순위 후보,보조힌트
교통시설지역,교통시설지,90.7,5350.3,5899.3,상(자동확정 후보),도로녹지(3%),
공업지,공업지,79.9,3041.8,3805.1,상(자동확정 후보),유휴지(8%),
주택지,단독주택지,71.0,2067.8,2913.6,상(자동확정 후보),공동주택지(22%),
공공용도지,공공용도지,90.8,2064.2,2273.6,상(자동확정 후보),상업시설녹지(3%),
상업 및 업무시설지,상업업무지,91.0,1888.1,2075.7,상(자동확정 후보),나지(3%),
특수지역,특수지역,99.9,1121.7,1123.1,상(자동확정 후보),유휴지(0%),
도시부양시설지,공공용도지,73.3,545.2,744.2,상(자동확정 후보),상업업무지(10%),
주거·상업혼합지,혼합주거지,94.3,654.8,694.2,상(자동확정 후보),나지(4%),
상업 및 업무시설,공업지,96.1,1.2,1.2,상(자동확정 후보),교통시설지(4%),
하천 및 호소,저수로,52.0,2354.5,4529.9,중(검토 권장),둔치 및 하중도(34%),
녹지 및 오픈스페이스,자생침엽수림,39.2,23791.3,60678.3,하(사람 확정 필요),농경지(16%),
나지,유휴지,24.7,213.0,862.7,하(사람 확정 필요),나지(16%),라벨유사:나지
