통합비교유형,2019면적_ha,2024면적_ha,순변화_ha,유지_ha,유지율%,전출_ha,최대전출경로
산림,46086.0,45740.2,-345.7,45617.3,99.0,468.7,초지·조성녹지(149ha)
농경지,10167.9,9726.0,-441.9,9551.4,93.9,616.5,나지·유휴지(359ha)
교통시설지,5899.3,5750.4,-148.8,5350.3,90.7,548.9,초지·조성녹지(194ha)
수계·습지,4596.0,5064.8,468.8,4443.7,96.7,152.3,산림(42ha)
공업지,3805.1,3188.2,-616.9,3082.5,81.0,722.6,나지·유휴지(510ha)
초지·조성녹지,3066.5,2224.0,-842.5,1454.8,47.4,1611.7,나지·유휴지(812ha)
공공용도지,3000.0,3058.3,58.3,2636.2,87.9,363.8,초지·조성녹지(223ha)
공동주택지,2985.4,3212.1,226.7,2914.5,97.6,70.9,나지·유휴지(44ha)
단독주택지,2272.8,2129.9,-142.9,2067.6,91.0,205.2,나지·유휴지(122ha)
상업업무지,2148.5,2053.9,-94.6,1957.0,91.1,191.5,나지·유휴지(75ha)
묘지,1235.9,1231.6,-4.3,1188.4,96.2,47.5,나지·유휴지(21ha)
특수지역,1123.1,1253.9,130.7,1121.7,99.9,1.5,나지·유휴지(1ha)
나지·유휴지,862.7,2585.8,1723.0,351.1,40.7,511.6,공동주택지(133ha)
주거상업혼합지,694.2,724.2,30.0,654.8,94.3,39.4,나지·유휴지(29ha)
