유형_2019,공공용도지,공동주택지,공업지,교통시설지,나지·유휴지,농경지,단독주택지,묘지,산림,상업업무지,수계·습지,주거상업혼합지,초지·조성녹지,특수지역
공공용도지,2636.2,6.8,2.4,15.4,41.2,23.2,3.1,0.1,27.1,6.3,4.4,2.4,223.0,8.5
공동주택지,6.5,2914.5,0.2,7.8,44.3,0.2,0.1,0.0,0.2,0.7,0.0,10.2,0.7,0.0
공업지,15.8,60.5,3082.5,39.5,510.5,14.6,20.7,0.2,5.6,7.1,3.7,2.6,39.4,2.4
교통시설지,168.3,9.2,5.9,5350.3,59.1,10.1,2.2,0.2,2.6,11.5,61.7,3.2,193.8,21.2
나지·유휴지,32.2,132.8,10.4,123.6,351.1,12.4,10.6,0.4,1.6,28.0,15.3,21.0,111.5,12.0
농경지,18.9,28.3,22.1,86.9,359.0,9551.4,13.9,3.2,15.3,20.3,6.2,0.6,30.5,11.2
단독주택지,2.3,29.1,1.5,13.8,121.9,8.0,2067.6,0.0,4.6,4.9,0.0,17.1,1.5,0.2
묘지,0.8,0.2,0.2,3.9,21.4,14.1,0.3,1188.4,3.3,0.4,0.0,0.0,2.9,0.0
산림,33.0,1.6,2.2,36.7,120.8,28.4,4.1,13.5,45617.3,2.3,3.4,0.4,148.7,73.8
상업업무지,22.0,14.9,40.4,16.5,75.2,6.1,1.6,0.0,0.3,1957.0,0.5,9.1,4.9,0.2
수계·습지,21.9,0.5,0.2,20.8,39.6,13.7,0.1,0.5,41.7,0.2,4443.7,0.0,12.1,1.0
주거상업혼합지,0.8,6.2,0.3,1.7,29.1,0.0,0.4,0.0,0.0,0.7,0.0,654.8,0.2,0.0
초지·조성녹지,99.4,7.6,20.1,33.3,811.9,43.7,4.9,25.2,20.6,14.7,525.9,2.8,1454.8,1.7
특수지역,0.1,0.0,0.0,0.3,0.7,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.1,1121.7
