비교유형,2019면적_ha,2024면적_ha,순변화_ha,유지_ha,유지율%,전출_ha,최대전출경로
자생침엽수림,60678.3,23817.0,-36861.3,23791.3,39.2,36887.0,농경지(9452ha)
교통시설지,5899.3,5743.7,-155.6,5350.3,90.7,549.0,도로녹지(184ha)
저수로,4529.9,2398.0,-2131.9,2354.5,52.0,2175.4,둔치 및 하중도(1532ha)
공업지,3805.1,3137.3,-667.7,3041.8,79.9,763.3,유휴지(304ha)
공공용도지,3017.8,3021.5,3.7,2609.4,86.5,408.4,상업시설녹지(75ha)
단독주택지,2913.6,2129.9,-783.7,2067.8,71.0,845.8,공동주택지(647ha)
상업업무지,2076.9,2053.6,-23.4,1888.1,90.9,188.8,나지(64ha)
특수지역,1123.1,1253.9,130.7,1121.7,99.9,1.5,유휴지(1ha)
유휴지,862.7,1650.1,787.3,213.0,24.7,649.8,나지(138ha)
혼합주거지,694.2,715.8,21.6,654.8,94.3,39.4,나지(29ha)
농경습지,0.0,3.9,3.9,0.0,,0.0,
농경지,0.0,9534.9,9534.9,0.0,,0.0,
기타 산림,0.0,8.4,8.4,0.0,,0.0,
공공휴양녹지,0.0,573.3,573.3,0.0,,0.0,
공동주택지,0.0,915.4,915.4,0.0,,0.0,
나지,0.0,910.4,910.4,0.0,,0.0,
둔치 및 하중도,0.0,2088.6,2088.6,0.0,,0.0,
산림 내 비식생지,0.0,120.7,120.7,0.0,,0.0,
산림 훼손지,0.0,34.7,34.7,0.0,,0.0,
산지천,0.0,8.3,8.3,0.0,,0.0,
도로녹지,0.0,1065.0,1065.0,0.0,,0.0,
물류시설지,0.0,50.8,50.8,0.0,,0.0,
복원산림,0.0,8512.3,8512.3,0.0,,0.0,
사육지,0.0,130.7,130.7,0.0,,0.0,
묘지,0.0,1231.6,1231.6,0.0,,0.0,
시설부속녹지,0.0,325.0,325.0,0.0,,0.0,
습윤지성 낙엽활엽수림,0.0,1.2,1.2,0.0,,0.0,
수목재배지,0.0,56.5,56.5,0.0,,0.0,
상업시설녹지,0.0,159.5,159.5,0.0,,0.0,
산지습원,0.0,0.5,0.5,0.0,,0.0,
인공시설물,0.0,1.2,1.2,0.0,,0.0,
임업산림,0.0,1172.6,1172.6,0.0,,0.0,
역사문화유적지,0.0,29.5,29.5,0.0,,0.0,
제내지 습지,0.0,62.8,62.8,0.0,,0.0,
저수지,0.0,436.0,436.0,0.0,,0.0,
참나무류 순림,0.0,5817.1,5817.1,0.0,,0.0,
제방사면,0.0,36.2,36.2,0.0,,0.0,
참나무류 우점림,0.0,6256.1,6256.1,0.0,,0.0,
특이 생육기반지,0.0,99.0,99.0,0.0,,0.0,
호소식생지,0.0,36.7,36.7,0.0,,0.0,
환경개선녹지,0.0,1.5,1.5,0.0,,0.0,
